protein,module,kME,abs_kME,r_mu,abs_r_mu,r_mu_p,in_GR_module,r_mu_q,hub_class
RPA3978,14,0.3951133945155221,0.3951133945155221,-0.3033609569700499,0.3033609569700499,0.006230090146743051,False,0.012307741917555154,Other
RPA3979,12,0.42340257520947283,0.42340257520947283,-0.1289155898843205,0.1289155898843205,0.2544230652670754,False,0.32354439242854266,Other
RPA3984,11,0.5935158269743139,0.5935158269743139,0.2655692999011224,0.2655692999011224,0.017272189351117666,False,0.030930043997131635,Other
RPA3985,5,0.9254423060276851,0.9254423060276851,-0.2866638539032834,0.2866638539032834,0.009937563150691525,False,0.018811472753143897,Other
RPA3987,8,0.7479692424247586,0.7479692424247586,0.06229560914205036,0.06229560914205036,0.5830375944404479,False,0.6444647695689951,Other
RPA3988,3,-0.794373812062118,0.794373812062118,-0.6941117984554015,0.6941117984554015,9.399371525678902e-13,True,1.745463292318572e-11,Other
RPA3992,8,0.8294254280517948,0.8294254280517948,0.030052019419667383,0.030052019419667383,0.7913000691746895,False,0.8259945072835292,Other
RPA4008,4,0.42041773846939784,0.42041773846939784,0.006470610743003438,0.006470610743003438,0.9545733794864512,False,0.9644411130067138,Other
RPA4015,6,-0.8684975959625458,0.8684975959625458,0.2495636646443121,0.2495636646443121,0.02558285547667686,False,0.04350491082434883,Other
RPA4016,9,0.5837880251692538,0.5837880251692538,-0.6012671055059275,0.6012671055059275,3.6897858290790603e-09,True,3.0184723720704035e-08,Other
RPA4018,1,-0.5705284160067123,0.5705284160067123,0.28284007044701487,0.28284007044701487,0.011018241291620458,True,0.02060510984747149,Other
RPA4019,17,-0.7536404914018253,0.7536404914018253,-0.1329861541634525,0.1329861541634525,0.2396045948566665,False,0.30728296453648457,Other
RPA4024,10,-0.516125320209849,0.516125320209849,0.06296990783786868,0.06296990783786868,0.5789583451622186,False,0.6416767294450356,Other
RPA4025,4,0.5424670940785894,0.5424670940785894,0.06294097340997595,0.06294097340997595,0.5791331171512545,False,0.6416767294450356,Other
RPA4029,10,-0.670477065483555,0.670477065483555,0.049787315009639996,0.049787315009639996,0.6609695870731152,False,0.7165327047254961,Other
RPA4031,1,-0.2645103148046645,0.2645103148046645,0.023626378268289977,0.023626378268289977,0.835210315615371,True,0.8616586422765243,Other
RPA4033,9,0.7506212113506358,0.7506212113506358,-0.5453600433907771,0.5453600433907771,1.6865514618576017e-07,True,9.666438471202364e-07,Other
RPA4034,5,0.7067835021388089,0.7067835021388089,0.031521740502670204,0.031521740502670204,0.7813419361938972,False,0.817898520581774,Other
RPA4042,8,0.5248388252691918,0.5248388252691918,0.08778366028911513,0.08778366028911513,0.43875333693894253,False,0.5140472849814613,Other
RPA4045,12,0.7725549283949869,0.7725549283949869,-0.268517815587,0.268517815587,0.01602679128402277,False,0.028783125159023485,Other
RPA4048,1,-0.4816698151374119,0.4816698151374119,0.3790063674276286,0.3790063674276286,0.0005265325492099302,True,0.0013928361023972083,Other
RPA4049,1,-0.7278348285741325,0.7278348285741325,0.4900234895855757,0.4900234895855757,3.9582014197579935e-06,True,1.6858669808464664e-05,Other
RPA4052,22,-0.5789119106187632,0.5789119106187632,-0.1938411315329438,0.1938411315329438,0.08491332549583391,False,0.12455295848796492,Other
RPA4053,9,0.6857266960647965,0.6857266960647965,-0.3963743128128186,0.3963743128128186,0.00027287968951815033,True,0.0007701179079562389,Other
RPA4054,1,-0.767996741459718,0.767996741459718,0.45063265066800035,0.45063265066800035,2.7343619464263626e-05,True,9.690286516247626e-05,Other
RPA4067,8,0.6380878888645269,0.6380878888645269,0.0011312088186408303,0.0011312088186408303,0.9920543181017741,False,0.9936595839886702,Other
RPA4069,2,-0.8879270585456835,0.8879270585456835,0.6200470687782458,0.6200470687782458,8.606201710607395e-10,True,8.112546485582707e-09,Other
RPA4071,6,-0.7970693412766251,0.7970693412766251,0.09332298245773318,0.09332298245773318,0.41029869753200093,False,0.48561165157229175,Other
RPA4072,1,-0.8283438117563646,0.8283438117563646,0.48640716583928156,0.48640716583928156,4.774786833083409e-06,True,1.9925346402327842e-05,Other
RPA4074,12,0.9074611178928398,0.9074611178928398,-0.3450265398560024,0.3450265398560024,0.0017227255632409166,False,0.003939780013470914,Other
RPA4076,13,-0.6109527980586831,0.6109527980586831,0.3732287534251224,0.3732287534251224,0.000650058312482765,True,0.0016812789502513854,Other
RPA4077,1,-0.7220928653022243,0.7220928653022243,0.7005036808168993,0.7005036808168993,4.736059004763346e-13,True,9.559632143310362e-12,Other
RPA4078,2,-0.43293065441134826,0.43293065441134826,0.10810937113513654,0.10810937113513654,0.33980910024922,True,0.4146028246798959,Other
RPA4081,3,-0.5653110574311699,0.5653110574311699,-0.4795560102109775,0.4795560102109775,6.772603408484923e-06,True,2.7520184966206787e-05,Other
RPA4088,7,-0.3715092932414376,0.3715092932414376,-0.42461407952958385,0.42461407952958385,8.652914374627114e-05,True,0.00027609041226258675,Other
RPA4089,17,-0.7575559116863196,0.7575559116863196,-0.22399550492460557,0.22399550492460557,0.04578142499186197,False,0.07291261252992082,Other
RPA4090,2,-0.3614597588114976,0.3614597588114976,0.37157876389843825,0.37157876389843825,0.0006898955219585075,True,0.0017719723157357515,Other
