protein,module,in_GR_module
RPA2831,13,True
RPA2832,2,True
RPA2837,18,False
RPA2838,8,False
RPA2839,2,True
RPA2841,8,False
RPA2844,1,True
RPA2845,1,True
RPA2849,15,False
RPA2850,11,False
RPA2851,4,False
RPA2852,4,False
RPA2853,11,False
RPA2854,16,False
RPA2855,4,False
RPA2856,1,True
RPA2862,15,False
RPA2863,1,True
RPA2864,13,True
RPA2865,2,True
RPA2866,4,False
RPA2867,1,True
RPA2869,8,False
RPA2872,2,True
RPA2873,1,True
RPA2874,4,False
RPA2875,12,False
RPA2879,5,False
RPA2883,20,False
RPA2886,6,False
RPA2887,2,True
RPA2889,18,False
RPA2890,2,True
RPA2895,17,False
RPA2898,4,False
RPA2901,3,True
RPA2902,14,False
RPA2903,12,False
RPA2905,6,False
RPA2906,14,False
RPA2907,21,False
RPA2908,13,True
RPA2910,2,True
RPA2913,1,True
RPA2914,6,False
RPA2916,3,True
RPA2919,1,True
RPA2921,14,False
RPA2922,4,False
RPA2923,5,False
RPA2926,12,False
RPA2928,6,False
RPA2930,2,True
RPA2931,21,False
RPA2934,1,True
RPA2936,4,False
RPA2942,5,False
RPA2945,2,True
RPA2947,13,True
RPA2948,1,True
RPA2950,2,True
RPA2953,8,False
RPA2959,1,True
RPA2960,18,False
RPA2961,5,False
RPA2962,11,False
RPA2963,2,True
RPA2966,1,True
RPA2967,9,True
RPA2969,3,True
RPA2971,5,False
RPA2973,22,False
RPA2974,2,True
RPA2977,1,True
RPA2983,19,False
RPA2986,5,False
RPA3001,18,False
RPA3009,3,True
RPA3011,7,True
RPA3015,3,True
RPA3018,7,True
RPA3023,3,True
RPA3024,1,True
RPA3030,15,False
RPA3031,7,True
RPA3032,5,False
RPA3033,1,True
RPA3034,19,False
RPA3038,1,True
RPA3039,14,False
RPA3040,5,False
RPA3043,14,False
RPA3045,4,False
RPA3051,2,True
RPA3053,2,True
RPA3054,9,True
RPA3056,13,True
RPA3057,6,False
RPA3058,2,True
RPA3059,1,True
RPA3060,4,False
RPA3064,2,True
RPA3065,16,False
RPA3067,1,True
RPA3069,2,True
RPA3070,18,False
RPA3071,4,False
RPA3072,8,False
RPA3073,2,True
RPA3074,7,True
RPA3075,16,False
RPA3077,5,False
RPA3080,11,False
RPA3084,1,True
RPA3088,3,True
RPA3090,15,False
RPA3091,1,True
RPA3092,3,True
RPA3093,8,False
RPA3095,6,False
RPA3096,1,True
RPA3098,22,False
RPA3104,9,True
RPA3105,1,True
RPA3106,2,True
RPA3107,6,False
RPA3109,1,True
RPA3111,2,True
RPA3113,1,True
RPA3114,3,True
RPA3116,6,False
RPA3118,6,False
RPA3124,6,False
RPA3125,2,True
RPA3127,13,True
RPA3130,15,False
RPA3133,1,True
RPA3136,20,False
RPA3138,4,False
RPA3147,11,False
RPA3148,12,False
RPA3149,22,False
RPA3151,2,True
RPA3157,7,True
RPA3158,2,True
RPA3159,5,False
RPA3163,3,True
RPA3164,9,True
RPA3167,1,True
RPA3169,1,True
RPA3173,16,False
RPA3174,9,True
RPA3175,6,False
RPA3176,11,False
RPA3185,17,False
RPA3186,5,False
RPA3188,10,False
RPA3190,6,False
RPA3191,8,False
RPA3192,17,False
RPA3193,8,False
RPA3195,11,False
RPA3199,15,False
RPA3203,11,False
RPA3206,14,False
RPA3207,2,True
RPA3215,2,True
RPA3217,9,True
RPA3218,12,False
RPA3221,6,False
RPA3223,3,True
RPA3224,13,True
RPA3225,4,False
RPA3226,4,False
RPA3227,8,False
RPA3229,14,False
RPA3231,2,True
RPA3232,1,True
RPA3233,6,False
RPA3234,5,False
RPA3235,5,False
RPA3236,4,False
RPA3237,8,False
RPA3238,1,True
RPA3239,2,True
RPA3240,6,False
